recipe_name,ingredients,location,restaurant_type,cuisine_type,dish_category,price_point,price_range,cooking_method,spice_level,dietary_tags,preparation_time,instructions,launch_date,season,neighborhood_type,population_density,area_income_level,region,avg_monthly_sales,customer_rating,review_count,profit_margin,food_cost,success
Thai Pizza,"specialty sauces, creative proteins, butter, garlic, lemon, mixed vegetables, cream, herbs",Jaipur India,casual_dining,fusion,side_dish,12.48,budget,raw,very_hot,keto,36,,2023-09-12,fall,tourist_area,medium,low,india,253,4.5,37,0.49,6.64,1
Signature Gatte ki Sabzi,"yogurt, lemon, lentils, oil, onion",New York NY,fine_dining,rajasthani,main_course,45.0,luxury,baked,medium,"keto,nut_free,spicy",24,,2023-05-30,spring,tourist_area,high,high,north_america,157,5.0,22,0.46,23.77,1
Malai Kofta,"turmeric, lime, vegetables, tomatoes, garam masala, basmati rice, spices, lemon",Vancouver Canada,cafe,north_indian,appetizer,13.29,mid_range,fried,mild,paleo,20,,2023-09-07,fall,suburban,medium,high,north_america,107,4.1,20,0.48,5.55,1
Bhapa Ilish,"oil, lemon, potatoes, poppy seeds",Seattle WA,casual_dining,bengali,main_course,9.84,budget,baked,hot,"high_protein,gluten_free",16,,2023-09-24,fall,residential,medium,high,north_america,122,4.7,29,0.45,6.08,1
Tikka Masala Pasta,"pasta, cheese, butter, lime",Kolkata India,cafe,fusion,side_dish,4.58,budget,sauteed,mild,"high_protein,nut_free,gluten_free",38,,2022-03-23,spring,tourist_area,very_high,medium,india,205,4.5,52,0.55,2.18,1
Hot and Sour Soup,"soy sauce, cornflour, oil, bell peppers, cream",Chennai India,cafe,indo_chinese,beverage,10.72,mid_range,baked,very_hot,"vegan,paleo",30,,2022-09-25,fall,downtown,high,medium,india,163,3.8,35,0.4,7.36,1
Pani Puri,"yogurt, lime, cream, potatoes",Pune India,fine_dining,indian_street_food,appetizer,31.29,upscale,fried,very_hot,low_carb,18,,2023-02-25,winter,downtown,high,medium,india,103,4.7,22,0.5,12.52,1
Biryani,"cumin, salt, ginger garlic paste, lemon, oil, garam masala, spices, vegetables",New York NY,food_truck,north_indian,beverage,4.63,budget,steamed,very_hot,none,26,,2023-03-23,spring,suburban,high,high,north_america,163,4.4,26,0.53,2.18,1
Tabbouleh,"olives, butter, cream, cucumbers, herbs, lime",Hyderabad India,fine_dining,mediterranean,main_course,40.67,upscale,raw,hot,"low_carb,mild",21,,2023-10-11,fall,residential,high,medium,india,108,4.4,19,0.49,21.66,1
Fried Rice,"butter, salt, seasonings, pepper",Toronto Canada,fast_food,indo_chinese,beverage,10.35,budget,steamed,very_hot,"low_carb,gluten_free",14,,2023-09-20,fall,residential,high,high,north_america,259,3.7,62,0.39,5.95,1
Margherita Pizza,"tomato sauce, lime, olive oil, parmesan, pepper, oregano, pasta, oil",Ahmedabad India,fine_dining,italian,beverage,46.92,luxury,sauteed,medium,vegan,32,,2023-09-02,fall,residential,high,medium,india,71,5.0,10,0.5,25.66,1
Burrito Bowl,"lime, butter, herbs, garlic, cheese",Vancouver Canada,casual_dining,mexican,beverage,23.26,mid_range,baked,medium,"paleo,spicy,low_carb",13,,2023-06-30,summer,residential,medium,high,north_america,310,4.2,91,0.6,8.19,1
Bharli Vangi,"kokum, coconut, vegetables, butter, lemon, garlic",Austin TX,fast_food,maharashtrian,dessert,10.92,budget,roasted,very_hot,"gluten_free,dairy_free",17,,2022-03-20,spring,suburban,medium,medium,north_america,337,4.5,100,0.47,5.86,1
Falafel Wrap,"butter, olives, lemon, salt, herbs, lime, cucumbers",Leicester UK,cafe,mediterranean,main_course,9.39,budget,raw,very_hot,vegan,10,,2022-12-29,winter,business_district,medium,medium,europe,192,3.8,49,0.55,4.78,1
Lasagna,"basil, herbs, pasta, butter, parmesan",Vancouver Canada,fine_dining,italian,side_dish,25.24,upscale,fried,hot,keto,16,,2023-12-18,winter,business_district,medium,high,north_america,131,4.9,26,0.55,9.45,1
Chef's Kosha Mangsho,"fish, potatoes, vegetables, nigella seeds, mustard seeds, coconut milk",Kolkata India,fine_dining,bengali,side_dish,34.01,upscale,baked,mild,"spicy,mild,dairy_free",16,,2023-07-20,summer,downtown,very_high,medium,india,166,5.0,43,0.56,13.42,1
Baklava,"herbs, oregano, vegetables, feta cheese, olive oil, tahini",Kochi India,fast_food,mediterranean,side_dish,9.92,budget,grilled,hot,"high_protein,spicy",16,,2023-05-06,spring,tourist_area,medium,medium,india,342,4.1,50,0.59,4.63,1
Classic Sandesh,"mustard oil, butter, herbs, pepper, salt, cream, spices, mustard seeds",Kochi India,food_truck,bengali,side_dish,7.93,budget,raw,mild,vegan,45,,2023-11-07,fall,residential,medium,medium,india,171,4.2,49,0.45,5.17,1
Signature Undhiyu,"sesame oil, lemon, oil, onion",Ahmedabad India,food_truck,gujarati,side_dish,7.55,budget,steamed,very_hot,"low_carb,vegan,vegetarian",45,,2023-06-05,summer,residential,high,medium,india,88,3.9,10,0.46,3.85,1
Deluxe Pinni,"green chilies, kidney beans, yogurt, cream, chickpeas",Chicago IL,fine_dining,punjabi,beverage,31.3,upscale,baked,very_hot,dairy_free,30,,2023-02-23,winter,downtown,high,medium,north_america,86,4.9,25,0.49,17.62,1
Bhapa Ilish,"oil, pepper, lime, lemon, poppy seeds, nigella seeds, vegetables, cream",Seattle WA,fast_food,bengali,beverage,5.52,budget,steamed,hot,none,35,,2023-10-25,fall,tourist_area,medium,high,north_america,282,4.3,67,0.58,2.75,1
Pav Bhaji,"butter, jaggery, cream, kokum, potatoes, rice flour, garlic, onions",Mumbai India,fast_food,maharashtrian,beverage,7.65,budget,steamed,medium,"nut_free,gluten_free",35,,2024-01-14,winter,suburban,very_high,medium,india,523,4.4,107,0.52,3.77,1
Indian Pizza,"spices, dough, lemon, tomato sauce, specialty sauces, garlic, unique toppings",Ahmedabad India,food_truck,fusion,beverage,7.48,budget,fried,hot,"vegan,spicy,high_protein",25,,2022-01-24,winter,suburban,high,medium,india,68,3.7,18,0.49,3.58,0
Pani Puri,"herbs, sev, mint chutney, vegetables",Goa India,food_truck,indian_street_food,main_course,4.57,budget,grilled,very_hot,"paleo,nut_free",39,,2022-05-01,spring,residential,low,medium,india,158,3.8,39,0.46,2.34,1
Chef's Biryani,"oil, onions, vegetables, cumin, salt, garam masala, basmati rice, cream",Seattle WA,fast_food,north_indian,dessert,6.86,budget,sauteed,mild,"vegetarian,keto,paleo",16,,2022-05-16,spring,business_district,medium,high,north_america,426,4.1,113,0.42,3.84,1
Dal Makhani,"cream, tomatoes, turmeric, basmati rice, ginger garlic paste, lime",Ahmedabad India,casual_dining,north_indian,beverage,9.2,budget,fried,hot,"keto,vegetarian,high_protein",27,,2022-05-20,spring,residential,high,medium,india,290,4.3,61,0.5,5.03,1
Guacamole,"avocado, spices, garlic, cream, cheese, lime, onion, butter",Vancouver Canada,fast_food,mexican,appetizer,8.37,budget,steamed,hot,none,32,,2022-03-02,spring,business_district,medium,high,north_america,294,4.0,63,0.63,3.25,1
Misal Pav,"garlic, salt, pepper, kokum",Hyderabad India,fast_food,maharashtrian,side_dish,5.23,budget,fried,medium,none,37,,2022-03-14,spring,business_district,high,medium,india,240,3.7,47,0.58,2.49,1
Chef's Bharli Vangi,"herbs, potatoes, pepper, vegetables, besan",Goa India,fast_food,maharashtrian,side_dish,6.8,budget,fried,very_hot,"gluten_free,spicy",17,,2023-04-29,spring,residential,low,medium,india,316,4.7,81,0.54,2.68,1
Burrito Bowl,"lime, garlic, beef, spices",Pune India,casual_dining,mexican,main_course,14.38,mid_range,baked,very_hot,mild,28,,2023-04-25,spring,suburban,high,medium,india,410,5.0,70,0.51,7.76,1
Deluxe Hot and Sour Soup,"garlic, lime, spring onions, vegetables, spices, cornflour, cream, cabbage",Toronto Canada,fine_dining,indo_chinese,dessert,41.0,upscale,baked,medium,"gluten_free,paleo",29,,2023-01-27,winter,residential,high,high,north_america,166,4.7,27,0.56,17.67,1
Beef Curry,"onion, garlic, ginger, butter, fish, coconut oil",Vancouver Canada,fast_food,kerala,main_course,8.79,budget,roasted,mild,none,30,,2022-12-08,winter,downtown,medium,high,north_america,396,4.2,92,0.5,5.05,1
Tabbouleh,"onion, cucumbers, feta cheese, garlic, oregano, cream, oil",Miami FL,fast_food,mediterranean,beverage,9.81,budget,roasted,very_hot,none,20,,2022-07-01,summer,downtown,medium,high,north_america,469,4.5,76,0.6,3.6,1
Premium Enchiladas,"spices, vegetables, lime, corn tortillas, onion, cilantro",Chicago IL,casual_dining,mexican,beverage,10.24,budget,raw,mild,none,23,,2022-12-12,winter,suburban,high,medium,north_america,236,4.9,54,0.56,4.03,1
Premium Lasagna,"cream, lemon, butter, spices",Goa India,food_truck,italian,side_dish,6.22,budget,sauteed,mild,"spicy,paleo",14,,2022-08-25,summer,downtown,low,medium,india,117,3.9,27,0.41,3.37,1
Classic Sweet and Sour Pork,"butter, pepper, lime, noodles",Leicester UK,fast_food,chinese,appetizer,11.69,budget,grilled,hot,none,31,,2023-11-01,fall,business_district,medium,medium,europe,317,4.3,54,0.53,4.92,1
Butter Chicken,"ginger garlic paste, garlic, pepper, yogurt",Bangalore India,food_truck,north_indian,side_dish,3.29,budget,grilled,mild,"spicy,low_carb,nut_free",34,,2023-07-14,summer,residential,high,medium,india,70,4.4,19,0.57,1.4,1
Shrikhand,"herbs, spices, hing, oil, sesame oil, jaggery",Birmingham UK,casual_dining,gujarati,beverage,8.06,budget,steamed,very_hot,"gluten_free,paleo,spicy",32,,2022-06-14,summer,downtown,high,medium,europe,167,4.7,27,0.4,4.6,1
Sandesh,"spices, herbs, potatoes, onion, butter",Mumbai India,fast_food,bengali,main_course,5.49,budget,baked,hot,none,12,,2024-01-25,winter,business_district,very_high,medium,india,449,4.2,49,0.42,3.34,1
Signature Mishti Doi,"oil, pepper, butter, onion",Jaipur India,food_truck,bengali,side_dish,6.77,budget,grilled,hot,"high_protein,paleo",45,,2023-07-31,summer,business_district,medium,low,india,177,4.1,24,0.4,4.45,1
Classic Pani Puri,"potatoes, salt, sev, onions, coriander, vegetables, chaat masala",Kolkata India,fine_dining,indian_street_food,side_dish,42.8,upscale,fried,mild,"high_protein,mild",18,,2023-12-13,winter,downtown,very_high,medium,india,83,4.6,14,0.47,24.42,1
Thepla,"salt, cumin seeds, jaggery, coconut, green chilies",Jaipur India,fast_food,gujarati,main_course,8.66,budget,grilled,hot,none,10,,2023-05-16,spring,tourist_area,medium,low,india,501,3.8,61,0.49,4.45,1
Mumbai Street Food,"onion, lime, oil, besan, potatoes, kokum, jaggery",Delhi India,food_truck,maharashtrian,dessert,5.74,budget,fried,very_hot,vegan,19,,2023-01-20,winter,business_district,very_high,medium,india,138,4.6,35,0.45,3.75,1
Dal Makhani,"salt, tomatoes, ginger garlic paste, spices, yogurt, butter, lemon",Mumbai India,fast_food,north_indian,side_dish,11.62,budget,fried,medium,mild,26,,2022-03-02,spring,downtown,very_high,medium,india,462,4.2,106,0.51,6.72,1
Chicken 65,"soy sauce, ginger garlic, green chilies, salt, spring onions",Ahmedabad India,fast_food,indo_chinese,appetizer,6.94,budget,fried,mild,vegetarian,19,,2024-01-02,winter,suburban,high,medium,india,351,4.5,70,0.62,2.27,1
Dhokla,"mustard seeds, onion, coriander, pepper, lime",Miami FL,casual_dining,gujarati,beverage,20.87,mid_range,baked,very_hot,vegetarian,32,,2022-02-28,winter,business_district,medium,high,north_america,237,4.3,40,0.57,7.58,1
Classic Enchiladas,"onion, cilantro, spices, chicken, salt, butter, oil, corn tortillas",Jaipur India,casual_dining,mexican,main_course,14.61,budget,sauteed,medium,none,26,,2022-01-30,winter,suburban,medium,low,india,381,4.7,59,0.57,6.02,1
Khandvi,"mustard seeds, lime, hing, cream",Austin TX,food_truck,gujarati,side_dish,4.17,budget,baked,very_hot,"high_protein,vegetarian,low_carb",19,,2023-02-08,winter,downtown,medium,medium,north_america,182,4.1,31,0.45,2.1,1
Falafel Wrap,"lemon, butter, olives, vegetables, salt",Vancouver Canada,fine_dining,mediterranean,appetizer,28.8,upscale,baked,very_hot,high_protein,34,,2022-06-22,summer,suburban,medium,high,north_america,82,4.5,24,0.48,16.7,1
Bharli Vangi,"spices, potatoes, green chilies, kokum",London UK,casual_dining,maharashtrian,side_dish,21.62,mid_range,roasted,very_hot,none,19,,2023-02-22,winter,suburban,high,high,europe,336,4.2,73,0.55,8.91,1
Chole Kulche,"vegetables, onions, garlic, chickpeas, green chilies, coriander",San Francisco CA,food_truck,punjabi,main_course,7.04,budget,fried,medium,"dairy_free,vegetarian",14,,2022-09-04,fall,downtown,high,high,north_america,127,4.6,26,0.49,3.39,1
Tabbouleh,"spices, pepper, garlic, olive oil, butter, lemon, oil, oregano",Leicester UK,fine_dining,mediterranean,dessert,78.68,luxury,roasted,hot,paleo,33,,2023-03-24,spring,business_district,medium,medium,europe,104,4.7,29,0.54,36.06,1
Deluxe Sandesh,"garlic, poppy seeds, mustard seeds, spices, herbs, lemon",Chicago IL,cafe,bengali,side_dish,7.58,budget,baked,mild,"gluten_free,low_carb",33,,2022-11-27,fall,business_district,high,medium,north_america,134,4.4,18,0.56,2.97,1
Aloo Paratha,"lime, wheat flour, onions, oil, potatoes, mustard greens, chickpeas, spices",Hyderabad India,fine_dining,punjabi,side_dish,43.82,upscale,sauteed,medium,gluten_free,29,,2022-04-30,spring,tourist_area,high,medium,india,106,5.0,11,0.58,16.48,1
Classic Burger,"bread, pepper, oil, onions",Hyderabad India,casual_dining,american,main_course,8.65,budget,grilled,mild,"nut_free,high_protein",27,,2023-07-25,summer,tourist_area,high,medium,india,217,4.6,50,0.54,3.48,1
Premium Shorshe Ilish,"mustard oil, salt, spices, poppy seeds, potatoes",Ahmedabad India,cafe,bengali,side_dish,15.24,mid_range,steamed,hot,dairy_free,38,,2023-04-19,spring,suburban,high,medium,india,147,4.3,26,0.43,6.99,1
Puttu,"onion, lime, curry leaves, ginger, cardamom, black pepper, cream, spices",Vancouver Canada,fast_food,kerala,main_course,7.16,budget,steamed,medium,vegan,39,,2022-11-24,fall,suburban,medium,high,north_america,239,4.1,34,0.5,3.98,1
Sushi Burger,"onion, salt, oil, lettuce, specialty sauces",San Francisco CA,cafe,fusion,main_course,7.61,budget,sauteed,very_hot,vegetarian,41,,2022-07-10,summer,suburban,high,high,north_america,194,4.1,43,0.55,3.88,1
Chef's Dal Makhani,"paneer, basmati rice, garam masala, butter, coriander, salt, tomatoes",London UK,casual_dining,north_indian,dessert,9.58,budget,baked,very_hot,paleo,37,,2022-08-21,summer,residential,high,high,europe,201,4.6,38,0.39,4.8,1
Masala Corn,"chaat masala, salt, butter, pepper",Hyderabad India,fast_food,indian_street_food,appetizer,5.7,budget,grilled,mild,"vegan,gluten_free,low_carb",45,,2023-10-23,fall,suburban,high,medium,india,644,4.5,145,0.49,2.45,1
Aloo Posto,"pepper, fish, onion, mustard oil, coconut milk, herbs",Pune India,cafe,bengali,main_course,13.08,mid_range,fried,medium,none,28,,2024-02-12,winter,tourist_area,high,medium,india,150,4.4,35,0.56,4.94,1
Classic Malabar Biryani,"ginger, lemon, curry leaves, black pepper, vegetables, tamarind, coconut oil, cream",London UK,casual_dining,kerala,appetizer,9.9,budget,raw,mild,none,41,,2023-12-02,winter,tourist_area,high,high,europe,171,3.9,39,0.42,5.91,1
Butter Chicken,"paneer, spices, oil, salt",Mumbai India,fast_food,north_indian,beverage,6.6,budget,roasted,mild,"mild,low_carb",40,,2024-01-08,winter,tourist_area,very_high,medium,india,414,4.3,106,0.4,3.64,1
Chef's Quesadillas,"onion, spices, beef, herbs, butter, salt",Lucknow India,fast_food,mexican,appetizer,8.16,budget,sauteed,mild,"spicy,dairy_free,paleo",32,,2023-05-24,spring,suburban,medium,low,india,227,4.3,23,0.42,5.59,1
Chef's Korean BBQ Tacos,"onion, meat, tortillas, creative proteins",London UK,fast_food,fusion,side_dish,7.84,budget,fried,very_hot,"high_protein,nut_free,mild",43,,2023-08-03,summer,residential,high,high,europe,324,4.0,90,0.44,4.92,1
Kulfi Falooda,"oil, mint chutney, chaat masala, herbs, yogurt, cream, vegetables",Seattle WA,casual_dining,indian_street_food,main_course,19.83,mid_range,raw,medium,"dairy_free,vegan",34,,2023-10-08,fall,tourist_area,medium,high,north_america,126,4.8,29,0.56,9.14,1
House Special Butter Chicken,"seasonings, tomatoes, spices, pepper",Seattle WA,casual_dining,north_indian,beverage,12.98,budget,baked,hot,"keto,high_protein,vegetarian",18,,2022-01-02,winter,residential,medium,high,north_america,298,4.7,48,0.59,5.14,1
Grilled Salmon,"vegetables, butter, oregano, oil",Chennai India,fine_dining,mediterranean,beverage,40.92,luxury,roasted,mild,"paleo,vegetarian",32,,2022-09-08,fall,tourist_area,high,medium,india,150,4.8,32,0.54,17.23,1
Chef's Falafel Wrap,"oil, feta cheese, oregano, olives, salt, onion, cucumbers, tahini",Kolkata India,food_truck,mediterranean,dessert,3.9,budget,sauteed,very_hot,none,17,,2022-12-25,winter,suburban,very_high,medium,india,130,4.1,18,0.44,2.62,1
Mumbai Street Food,"vegetables, spices, coconut, salt, lemon, pav bread",Delhi India,food_truck,maharashtrian,dessert,6.55,budget,raw,hot,keto,29,,2022-03-16,spring,business_district,very_high,medium,india,136,4.4,29,0.51,2.87,1
Deluxe Grilled Salmon,"spices, cucumbers, cream, salt, lime, onion, herbs",Birmingham UK,fine_dining,mediterranean,side_dish,68.92,luxury,baked,very_hot,spicy,23,,2024-01-11,winter,business_district,high,medium,europe,154,5.0,42,0.56,35.65,1
Sweet and Sour Pork,"rice, salt, lime, chili, herbs, pepper, lemon, sesame oil",Miami FL,casual_dining,chinese,beverage,12.41,budget,baked,hot,"dairy_free,keto",33,,2023-02-27,winter,tourist_area,medium,high,north_america,316,4.3,80,0.44,5.6,1
Pyaaz Kachori,"herbs, butter, beans, red meat, ghee",Mumbai India,fine_dining,rajasthani,main_course,45.45,luxury,roasted,hot,none,23,,2022-04-28,spring,residential,very_high,medium,india,119,5.0,24,0.53,18.86,1
Apple Pie,"herbs, spices, butter, onion",Lucknow India,fine_dining,american,dessert,67.83,luxury,roasted,hot,"dairy_free,keto",34,,2023-02-11,winter,suburban,medium,low,india,98,5.0,20,0.44,33.52,1
Masala Dosa,"salt, chana dal, fish, curry leaves",Seattle WA,casual_dining,south_indian,dessert,15.92,mid_range,fried,hot,"dairy_free,vegan,vegetarian",38,,2023-11-11,fall,business_district,medium,high,north_america,363,4.7,94,0.51,8.86,1
Rajma Rice,"basmati rice, coriander, ginger garlic paste, onions, turmeric, lime, pepper",New York NY,fast_food,north_indian,beverage,7.11,budget,baked,mild,"keto,dairy_free,vegetarian",13,,2022-11-23,fall,suburban,high,high,north_america,472,4.5,62,0.58,3.12,1
Misal Pav,"onion, onions, spices, prawns, potatoes, jaggery",Vancouver Canada,cafe,maharashtrian,side_dish,9.09,mid_range,raw,medium,none,31,,2022-05-18,spring,residential,medium,high,north_america,104,4.0,28,0.43,4.57,1
Greek Salad,"oregano, garlic, lettuce, cucumbers",Vancouver Canada,cafe,mediterranean,beverage,12.88,mid_range,raw,very_hot,high_protein,30,,2022-12-22,winter,suburban,medium,high,north_america,105,4.1,23,0.46,5.81,1
Classic Sushi Burger,"fusion spices, bun, spices, specialty sauces, pickles, vegetables",Seattle WA,casual_dining,fusion,appetizer,17.9,mid_range,raw,mild,none,20,,2022-06-16,summer,suburban,medium,high,north_america,225,4.1,59,0.54,9.56,1
Peking Duck,"oil, garlic, pepper, onion, noodles, vegetables, rice",Vancouver Canada,food_truck,chinese,main_course,5.68,budget,baked,mild,"paleo,nut_free,dairy_free",19,,2023-03-28,spring,residential,medium,high,north_america,114,4.2,32,0.42,3.05,1
Papdi Chaat,"tamarind chutney, chaat masala, onions, lemon, yogurt, mint chutney",Los Angeles CA,food_truck,indian_street_food,main_course,3.65,budget,steamed,mild,vegan,13,,2022-03-30,spring,downtown,high,high,north_america,139,3.8,33,0.58,1.56,1
Guacamole,"oil, lime, lemon, salt, avocado, chili peppers, spices",Leicester UK,food_truck,mexican,side_dish,4.59,budget,sauteed,hot,"gluten_free,spicy",17,,2024-02-22,winter,residential,medium,medium,europe,88,3.8,17,0.45,2.27,1
Deluxe Vada,"urad dal, lentils, garlic, onion, jaggery",Toronto Canada,food_truck,south_indian,dessert,6.46,budget,roasted,hot,"dairy_free,mild,vegetarian",22,,2022-07-20,summer,tourist_area,high,high,north_america,130,4.5,34,0.45,4.06,1
Mac and Cheese,"bacon, beef, vegetables, chicken, spices",Pune India,food_truck,american,appetizer,5.24,budget,sauteed,hot,mild,21,,2022-09-21,fall,residential,high,medium,india,165,4.0,47,0.51,2.36,1
Falafel Wrap,"salt, oil, feta cheese, cucumbers, butter",Toronto Canada,fine_dining,mediterranean,appetizer,27.84,upscale,steamed,hot,none,18,,2023-09-12,fall,downtown,high,high,north_america,163,5.0,21,0.57,10.19,1
Spaghetti Carbonara,"spices, olive oil, garlic, pepper, salt, pasta",Delhi India,cafe,italian,main_course,8.34,budget,roasted,very_hot,spicy,21,,2023-11-12,fall,downtown,very_high,medium,india,104,4.2,15,0.51,4.37,1
Gujarati Thali,"cumin seeds, besan, lime, ginger, herbs",Jaipur India,fine_dining,gujarati,side_dish,41.38,upscale,raw,medium,vegan,21,,2022-03-27,spring,suburban,medium,low,india,82,4.9,14,0.45,24.14,1
Hot and Sour Soup,"oil, broth, ginger garlic, onion, cornflour, herbs, rice",Miami FL,fine_dining,indo_chinese,dessert,41.74,upscale,baked,mild,"keto,mild,gluten_free",10,,2023-11-21,fall,downtown,medium,high,north_america,97,5.0,19,0.64,14.51,1
Koliwada Prawns,"green chilies, oil, lemon, spices, coconut, lime, vegetables",Ahmedabad India,cafe,maharashtrian,main_course,7.66,budget,fried,hot,vegan,37,,2024-01-03,winter,suburban,high,medium,india,109,3.9,17,0.38,4.36,1
Fried Rice,"soy sauce, onion, scallions, rice, pepper, herbs, vegetables, ginger",Kochi India,fine_dining,chinese,beverage,38.03,upscale,sauteed,hot,none,22,,2023-06-11,summer,downtown,medium,medium,india,66,4.5,18,0.52,14.88,1
Margherita Pizza,"cheese, cream, garlic, salt, oregano",Birmingham UK,casual_dining,italian,main_course,10.25,budget,raw,mild,none,30,,2022-02-17,winter,suburban,high,medium,europe,277,4.7,58,0.4,5.75,1
Masala Dosa,"fenugreek, coconut, curry leaves, garlic, rice, oil, onion, jaggery",Birmingham UK,casual_dining,south_indian,beverage,24.91,mid_range,fried,medium,nut_free,42,,2022-07-31,summer,business_district,high,medium,europe,327,4.7,95,0.45,13.51,1
Hot Pot,"chili, vegetables, rice, onion, cream, butter, garlic",Leicester UK,fast_food,chinese,dessert,11.81,budget,raw,mild,none,19,,2022-07-14,summer,business_district,medium,medium,europe,342,4.4,83,0.42,7.32,1
Uttapam,"pepper, vegetables, lemon, spices",Ahmedabad India,casual_dining,south_indian,appetizer,17.49,mid_range,steamed,very_hot,"low_carb,vegan,vegetarian",33,,2023-10-07,fall,business_district,high,medium,india,316,4.8,65,0.43,10.54,1
Palak Paneer,"onion, pepper, coriander, spices, garlic, turmeric, vegetables",Vancouver Canada,casual_dining,north_indian,side_dish,9.25,budget,raw,medium,"paleo,high_protein",11,,2023-11-23,fall,suburban,medium,high,north_america,228,4.3,66,0.48,4.59,1
Kung Pao Chicken,"noodles, soy sauce, cream, chili, seasonings",Seattle WA,food_truck,chinese,dessert,6.69,budget,fried,hot,"mild,vegetarian,high_protein",11,,2022-05-20,spring,residential,medium,high,north_america,130,3.8,29,0.46,4.3,1
Signature Chole Tikki,"green chilies, coriander, garlic, yogurt, tamarind chutney, vegetables, potatoes, butter",Mumbai India,fast_food,indian_street_food,dessert,8.23,budget,grilled,medium,"vegan,low_carb",39,,2022-10-23,fall,business_district,very_high,medium,india,473,4.0,116,0.54,3.87,1
Kosha Mangsho,"salt, spices, mustard oil, cream, oil, poppy seeds, lemon, potatoes",Chennai India,fine_dining,bengali,appetizer,27.79,upscale,raw,mild,low_carb,12,,2023-04-15,spring,residential,high,medium,india,147,4.9,16,0.59,10.0,1
House Special Peking Duck,"spices, soy sauce, butter, lime, chili, lemon, salt, oil",Jaipur India,fine_dining,chinese,side_dish,53.91,luxury,sauteed,medium,"keto,vegan,nut_free",10,,2022-08-31,summer,suburban,medium,low,india,145,5.0,41,0.47,25.41,1
Bhel Puri,"vegetables, spices, butter, sev, potatoes, pepper, garlic, chickpeas",London UK,fine_dining,indian_street_food,side_dish,57.95,luxury,baked,medium,"nut_free,keto,low_carb",42,,2022-02-23,winter,residential,high,high,europe,72,5.0,14,0.5,33.2,1
Thepla,"lime, oil, ginger, vegetables",Los Angeles CA,fast_food,gujarati,dessert,7.75,budget,baked,medium,none,31,,2022-10-08,fall,residential,high,high,north_america,500,4.5,87,0.48,3.28,1
Solkadhi,"cream, prawns, pav bread, vegetables, onion, herbs, besan",Austin TX,casual_dining,maharashtrian,appetizer,14.52,budget,sauteed,mild,"dairy_free,mild",28,,2023-10-26,fall,residential,medium,medium,north_america,208,4.6,40,0.51,7.3,1
Butter Naan,"lime, butter, coriander, lemon, ghee",London UK,fine_dining,punjabi,beverage,53.32,luxury,raw,mild,keto,23,,2022-12-23,winter,downtown,high,high,europe,158,4.5,39,0.51,27.99,1
Chole Kulche,"pepper, onions, ginger, wheat flour, coriander, yogurt, butter",Chicago IL,fast_food,punjabi,side_dish,6.2,budget,baked,hot,"nut_free,paleo",29,,2023-08-22,summer,suburban,high,medium,north_america,466,3.9,126,0.44,2.93,1
Signature Coconut Rice,"garlic, black pepper, coconut oil, jaggery",Ahmedabad India,fine_dining,kerala,appetizer,50.33,luxury,baked,hot,none,29,,2023-04-11,spring,tourist_area,high,medium,india,182,4.7,26,0.58,19.53,1
Greek Salad,"cream, garlic, salt, olives, spices, tahini",Ahmedabad India,fine_dining,mediterranean,appetizer,29.44,upscale,baked,medium,"nut_free,mild,vegetarian",43,,2022-05-08,spring,suburban,high,medium,india,203,4.6,28,0.62,11.2,1
Tiramisu,"mozzarella, herbs, onion, vegetables, olive oil, pasta, garlic, oil",Kochi India,casual_dining,italian,beverage,14.39,mid_range,fried,mild,"nut_free,low_carb",14,,2023-12-02,winter,tourist_area,medium,medium,india,263,4.7,47,0.59,5.26,1
Margherita Pizza,"oil, basil, spices, olive oil",Delhi India,casual_dining,italian,main_course,17.76,mid_range,baked,hot,"high_protein,vegan,mild",20,,2023-01-23,winter,business_district,very_high,medium,india,340,5.0,101,0.5,9.93,1
Kulfi Falooda,"oil, chickpeas, green chilies, mint chutney, sev, spices",Austin TX,food_truck,indian_street_food,appetizer,5.66,budget,grilled,hot,"dairy_free,spicy,vegetarian",31,,2022-08-28,summer,suburban,medium,medium,north_america,72,4.1,13,0.46,3.53,1
Chingri Malai Curry,"jaggery, spices, potatoes, pepper, herbs, garlic",Seattle WA,fine_dining,bengali,beverage,70.17,luxury,fried,hot,"paleo,spicy,mild",43,,2022-05-10,spring,downtown,medium,high,north_america,73,4.7,8,0.59,28.02,1
Biryani,"chicken, garam masala, pepper, lime, tomatoes",Jaipur India,food_truck,north_indian,dessert,6.95,budget,raw,hot,"paleo,vegan",37,,2022-07-31,summer,residential,medium,low,india,89,4.2,15,0.49,2.96,1
Gujarati Dal,"besan, salt, onion, herbs, oil, turmeric, coconut",Leicester UK,casual_dining,gujarati,appetizer,14.21,budget,baked,hot,none,20,,2022-01-24,winter,downtown,medium,medium,europe,293,4.1,47,0.52,6.63,1
Chef's Aloo Paratha,"cream, coriander, ghee, vegetables, green chilies, lemon",Kolkata India,food_truck,punjabi,main_course,6.73,budget,fried,very_hot,none,17,,2022-05-05,spring,business_district,very_high,medium,india,135,3.7,20,0.52,2.72,1
